## telescope
builtin.find_files                          | <space>fd
builtin.git_files                           | <space>ft
builtin.help_tags                           | <space>fh
require("custom.telescope.multi-ripgrep")   | <space>fg
builtin.buffers                             | <space>fb
builtin.current_buffer_fuzzy_find           | <space>/
builtin.grep_string                         | <space>gw
Search Lazy plugin directory                | <space>fa 
Search nvim config directory                | <space>en
Search backup nvim config directory         | <space>eo
Search user plugin directory                | <space>fp

## Snippets
Previous Spot in Snippet                    | <c-k>
Next Spot in Snippet                        | <c-j>

## LSP
builtin.lsp_definitions                     | gd
builtin.lsp_references                      | gr 
vim.lsp.buf.declaration                     | gD
vim.lsp.buf.type_definition                 | gT
vim.lsp.buf.hover                           | K
vim.lsp.buf.rename                          | <leader>cr
vim.lsp.buf.code_action                     | <leader>ca
builtin.lsp_document_symbols                | <leader>wd
Format Buffer                               | <leader>bf
